Live Performance,Music Video,Lyric Video,Promotional Video,Visualizer,Still Image w/ Audio,Karaoke,Vertical Video,YouTube Short (Hardcoded),Parenthesis Logic (Hardcoded)
,अधिकृत व्हिडिओ,,parte 4,,,,,,
,आधिकारिक वीडियो,,parte 5,,,,,,
,संगीत वीडियो,,parte 6,,,,,,
,संगीत व्हिडिओ,,parte 7,,,,,,
,অফিসিয়াল ভিডিও,,parte 8,,,,,,
,মিউজিক ভিডিও,,parte 9,,,,,,
,அதிகாரப்பூர்வ வீடியோ,,parte0,,,,,,
,இசை வீடியோ,,parte1,,,,,,
,అధికారిక వీడియో,,parte10,,,,,,
,మ్యూజిక్ వీడియో,,parte2,,,,,,
,ಅಧಿಕೃತ ವಿಡಿಯೋ,,parte3,,,,,,
,ಸಂಗೀತ ವೀಡಿಯೊ,,parte4,,,,,,
,ഔദ്യോഗിക വീഡിയോ,,parte5,,,,,,
,സംഗീത വീഡിയോ,,parte6,,,,,,
,มิวสิควิดีโอ,,parte7,,,,,,
,วิดีโออย่างเป็นทางการ,,parte8,,,,,,
,オフィシャルビデオ,,parte9,,,,,,
,ミュージックビデオ,,phỏng vấn,,,,,,
,官方视频,,playback,,,,,,
,音乐视频,,podcast,,,,,,
,공식 비디오,,promo,,,,,,
,뮤직비디오,,promotional video,,,,,,
,,,q & a,,,,,,
,,,q and a,,,,,,
,,,q&a,,,,,,
,,,react,,,,,,
,,,reactions,,,,,,
,,,recap,,,,,,
,,,reportage,,,,,,
,,,röportaj,,,,,,
,,,s01e00,,,,,,
,,,s01e01,,,,,,
,,,s01e02,,,,,,
,,,s01e03,,,,,,
,,,s01e04,,,,,,
,,,s01e05,,,,,,
,,,s01e06,,,,,,
,,,s01e07,,,,,,
,,,s01e08,,,,,,
,,,s01e09,,,,,,
,,,s01e10,,,,,,
,,,s02e00,,,,,,
,,,s02e01,,,,,,
,,,s02e02,,,,,,
,,,s02e03,,,,,,
,,,s02e04,,,,,,
,,,s02e05,,,,,,
,,,s02e06,,,,,,
,,,s02e07,,,,,,
,,,s02e08,,,,,,
,,,s02e09,,,,,,
,,,s02e10,,,,,,
,,,s03e00,,,,,,
,,,s03e01,,,,,,
,,,s03e02,,,,,,
,,,s03e03,,,,,,
,,,s03e04,,,,,,
,,,s03e05,,,,,,
,,,s03e06,,,,,,
,,,s03e07,,,,,,
,,,s03e08,,,,,,
,,,s03e09,,,,,,
,,,s03e10,,,,,,
,,,s04e00,,,,,,
,,,s04e01,,,,,,
,,,s04e02,,,,,,
,,,s04e03,,,,,,
,,,s04e04,,,,,,
,,,s04e05,,,,,,
,,,s04e06,,,,,,
,,,s04e07,,,,,,
,,,s04e08,,,,,,
,,,s04e09,,,,,,
,,,s04e10,,,,,,
,,,s05e00,,,,,,
,,,s05e01,,,,,,
,,,s05e02,,,,,,
,,,s05e03,,,,,,
,,,s05e04,,,,,,
,,,s05e05,,,,,,
,,,s05e06,,,,,,
,,,s05e07,,,,,,
,,,s05e08,,,,,,
,,,s05e09,,,,,,
,,,s05e10,,,,,,
,,,s06e00,,,,,,
,,,s06e01,,,,,,
,,,s06e02,,,,,,
,,,s06e03,,,,,,
,,,s06e04,,,,,,
,,,s06e05,,,,,,
,,,s06e06,,,,,,
,,,s06e07,,,,,,
,,,s06e08,,,,,,
,,,s06e09,,,,,,
,,,s06e10,,,,,,
,,,s07e00,,,,,,
,,,s07e01,,,,,,
,,,s07e02,,,,,,
,,,s07e03,,,,,,
,,,s07e04,,,,,,
,,,s07e05,,,,,,
,,,s07e06,,,,,,
,,,s07e07,,,,,,
,,,s07e08,,,,,,
,,,s07e09,,,,,,
,,,s07e10,,,,,,
,,,s08e00,,,,,,
,,,s08e01,,,,,,
,,,s08e02,,,,,,
,,,s08e03,,,,,,
,,,s08e04,,,,,,
,,,s08e05,,,,,,
,,,s08e06,,,,,,
,,,s08e07,,,,,,
,,,s08e08,,,,,,
,,,s08e09,,,,,,
,,,s08e10,,,,,,
,,,s09e00,,,,,,
,,,s09e01,,,,,,
,,,s09e02,,,,,,
,,,s09e03,,,,,,
,,,s09e04,,,,,,
,,,s09e05,,,,,,
,,,s09e06,,,,,,
,,,s09e07,,,,,,
,,,s09e08,,,,,,
,,,s09e09,,,,,,
,,,s09e10,,,,,,
,,,sa likod ng mga eksena,,,,,,
,,,speaks,,,,,,
,,,subs,,,,,,
,,,subtitled,,,,,,
,,,teaser,,,,,,
,,,track by track,,,,,,
,,,track chat,,,,,,
,,,track x track,,,,,,
,,,trailer,,,,,,
,,,tutorial,,,,,,
,,,unboxing,,,,,,
,,,video diary,,,,,,
,,,vietsub,,,,,,
,,,vinyl,,,,,,
,,,vlog,,,,,,
,,,vol 0,,,,,,
,,,vol 1,,,,,,
,,,vol 10,,,,,,
,,,vol 11,,,,,,
,,,vol 12,,,,,,
,,,vol 13,,,,,,
,,,vol 14,,,,,,
,,,vol 15,,,,,,
,,,vol 16,,,,,,
,,,vol 17,,,,,,
,,,vol 18,,,,,,
,,,vol 19,,,,,,
,,,vol 2,,,,,,
,,,vol 20,,,,,,
,,,vol 21,,,,,,
,,,vol 3,,,,,,
,,,vol 4,,,,,,
,,,vol 5,,,,,,
,,,vol 6,,,,,,
,,,vol 7,,,,,,
,,,vol 8,,,,,,
,,,vol 9,,,,,,
,,,vol0,,,,,,
,,,vol1,,,,,,
,,,vol10,,,,,,
,,,vol2,,,,,,
,,,vol3,,,,,,
,,,vol4,,,,,,
,,,vol5,,,,,,
,,,vol6,,,,,,
,,,vol7,,,,,,
,,,vol8,,,,,,
,,,vol9,,,,,,
,,,wawancara,,,,,,
,,,webisode,,,,,,
,,,épisode,,,,,,
,,,за кадром,,,,,,
,,,интервью,,,,,,
,,,خلف الكواليس,,,,,,
,,,مقابلة,,,,,,
,,,परदे के पीछे,,,,,,
,,,साक्षात्कार,,,,,,
,,,ฟังยาวต่อเนื่อง,,,,,,
,,,สัมภาษณ์,,,,,,
,,,เบื้องหลัง,,,,,,
,,,インタビュー,,,,,,
,,,振り付け,,,,,,
,,,编舞,,,,,,
,,,舞台裏,,,,,,
,,,華納官方中字版,,,,,,
,,,비하인드,,,,,,
,,,인터뷰,,,,,,
