ID,IS_ACTIVE,TRANSLATION_SET_ID,IS_CORE,ARTIST_ID,PROJECT_ID,GAID_TYPE_CODE,GAID_TYPE,GAID,CATEGORY_CODE,CATEGORY,TYPE_CODE,TYPE,SUB_TYPE_CODE,SUB_TYPE,COUNTRY_OF_CREATION_CODE,COUNTRY_OF_CREATION,CREATION_DATE,ESTIMATED_PUBLIC_DOMAIN_DATE,MAJOR_GENRE_CODE,MAJOR_GENRE,MINOR_GENRE_CODE,MINOR_GENRE,EXPLICIT_CODE,NON_STANDARD_GENRE,EXPLICIT_RATING,IS_AUTO_CREATE_PRODUCT,IS_THIRD_PARTY_OWNED_REP,IS_COPYRIGHT_LIABILITY,IS_SELLABLE_AS_TRACK,IS_MUSICAL_WORK_BASED,SECURITY_GROUP_ID,PLAY_LENGTH,EDIT_TYPE_CODE,EDIT_TYPE,PRIMARY_LYRICS_LANGUAGE_CODE,PRIMARY_LYRICS_LANGUAGE,COUNTRY_OF_RECORDING_CODE,COUNTRY_OF_RECORDING,MASTERING_LOCATION,IS_INSTRUMENTAL,IS_ARCHIVED,COLOR_DOMAIN_CODE,COLOR_DOMAIN,ARTIST_DISPLAY_TITLE,TITLE,DISPLAY_TITLE,VERSION,VERSION_DESCRIPTION,WORK_DISPLAY_TITLE,SHORT_SYNOPSIS,LONG_SYNOPSIS,KEYWORDS,OCCASION_OR_EVENT,PERFORMANCE_VENUE,TRANSCRIPT_OR_LYRICS,ORCHESTRA_DISPLAY_NAME,TREATMENT,CAPTION,CREATION_LOCATON,GROUP_CODE_OR_COLLECTION,ISRC,NSRA,DUMMY_ASSET_ID,P_CREDIT,WW_REPERTOIRE_OWNER_ID,WW_REPERTOIRE_OWNER_COMPANYNUM,WW_REPERTOIRE_OWNER,PLACE_OF_PUBLICATION,AVAILABLE_IN_CAR,PLATFORM,UNASSIGNED_SALE,SOR_FIN_PROJ_ID,FINANCIAL_COMPANY,FINANCIAL_LABEL,PROJ_ACCTG_ELEMENT_1,CREATED_BY,CREATED_ON,LAST_MODIFIED_BY,LAST_MODIFIED_ON,IS_DELETED,PRIMARY_PRODUCT_ID,P_YEAR,IS_ORIGINAL,IS_METADATA_COMPLETE,IS_DMD_LOCKED,INTERNAL_COMMENTS,PMO_ID,PMO_CODE,PMO_TITLE,METADATA_LANGUAGE_CODE,METADATA_LANGUAGE,COPYRIGHT_HOLDER_TYPE_CODE,COPYRIGHT_HOLDER_TYPE,COUNTRY_OF_COMMISSIONING_CODE,COUNTRY_OF_COMMISSIONING,AUDIO_PRESENTATION_CODE,AUDIO_PRESENTATION,SUCCESSOR_STATUS_CODE,SUCCESSOR_STATUS,IS_PARTICIPANT_COMPLETE,ADDITIONAL_MAIN_ARTISTS,ORIGINAL_GLOBAL_RELEASE_DATE,IS_CONFIDENTIAL,MDM_TITLE_CLEANED,MDM_ATTRIBUTES_CLEANED,MDM_ARTIST_CLEANED,MDM_ASSET_PARTICIPANT_CLEANED,MDM_ASSET_WORK_PARTICIP_CLEAN,MDM_CREDITS_CLEANED,MDM_CLEANED,MDM_RLS_DATE_CLEANED,CONSUMER_OGRD,MDM_NON_OWNED,MDM_OUT_OF_SCOPE,IS_SPLIT_OWNED
9696445,Y,501,Y,2212570,4392513,243,ISRC,JPWP02201755,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1000346,Hip Hop,,,1219,,Not Explicit,N,Y,,N,Y,1000085,000:02:39,,,4466,Japanese,4109,JAPAN,,,,,,Riu Domura,SHARP SHIP (feat. Inman),SHARP SHIP (feat. Inman),,,SHARP SHIP,,,,,,,,,,,,JPWP02201755,,,2021 Riu Domura,1893519,6455-178,BLUEMOON MUSIC LLC,,,,,,,,,1009522,2022-09-28 11:33:10.000,1009522,2023-02-07 08:32:44.000,N,11273393,2021,Y,Y,Y,For Spotify (Japanse Title),1007014,6400,WM Japan,1008827,English,1009528,WMG is not Copyright Holder,4109,JAPAN,,,,,N,,2021-05-26 00:00:00.000,N,,,,,,,,,2021-05-26 00:00:00.000,N,N,N
9696445,Y,529,N,2212570,4392513,243,ISRC,JPWP02201755,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1000346,Hip Hop,,,1219,,Not Explicit,N,Y,,N,Y,1000085,000:02:39,,,4466,Japanese,4109,JAPAN,,,,,,堂村璃羽,SHARP SHIP (feat. 韻マン),SHARP SHIP (feat. 韻マン),,,SHARP SHIP,,,,,,,,,,,,JPWP02201755,,,2021 Riu Domura,1893519,6455-178,BLUEMOON MUSIC LLC,,,,,,,,,1009522,2022-10-21 02:02:34.000,1009522,2023-02-07 08:32:44.000,N,11273393,2021,N,Y,Y,For Spotify (Japanse Title),1007014,6400,WM Japan,1008827,English,1009528,WMG is not Copyright Holder,4109,JAPAN,,,,,N,,2021-05-26 00:00:00.000,N,,,,,,,,,2021-05-26 00:00:00.000,N,N,N
9696445,Y,530,N,2212570,4392513,243,ISRC,JPWP02201755,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1000346,Hip Hop,,,1219,,Not Explicit,N,Y,,N,Y,1000085,000:02:39,,,4466,Japanese,4109,JAPAN,,,,,,ドウムラ リウ,シャープシープ,シャープシープ,,,SHARP SHIP,,,,,,,,,,,,JPWP02201755,,,2021 Riu Domura,1893519,6455-178,BLUEMOON MUSIC LLC,,,,,,,,,1009522,2022-10-21 02:12:30.000,1009522,2023-02-07 08:32:44.000,N,11273393,2021,N,Y,Y,For Spotify (Japanse Title),1007014,6400,WM Japan,1008827,English,1009528,WMG is not Copyright Holder,4109,JAPAN,,,,,N,,2021-05-26 00:00:00.000,N,,,,,,,,,2021-05-26 00:00:00.000,N,N,N
9696446,Y,501,Y,2212570,4392513,243,ISRC,JPWP02201756,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1000346,Hip Hop,,,1219,,Not Explicit,N,Y,,N,Y,1000085,000:03:48,,,4466,Japanese,4109,JAPAN,,,,,,Riu Domura,Snooze,Snooze,,,Snooze,,,,,,,,,,,,JPWP02201756,,,2021 Riu Domura,1893519,6455-178,BLUEMOON MUSIC LLC,,,,,,,,,1009522,2022-09-28 11:33:15.000,1009522,2023-02-07 08:32:48.000,N,11273395,2021,Y,Y,Y,For Spotify (Japanse Title),1007014,6400,WM Japan,1008827,English,1009528,WMG is not Copyright Holder,4109,JAPAN,,,,,N,,2021-03-27 00:00:00.000,N,,,,,,,,,2021-03-27 00:00:00.000,N,N,N
9696446,Y,529,N,2212570,4392513,243,ISRC,JPWP02201756,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1000346,Hip Hop,,,1219,,Not Explicit,N,Y,,N,Y,1000085,000:03:48,,,4466,Japanese,4109,JAPAN,,,,,,堂村璃羽,うたた寝,うたた寝,,,Snooze,,,,,,,,,,,,JPWP02201756,,,2021 Riu Domura,1893519,6455-178,BLUEMOON MUSIC LLC,,,,,,,,,1009522,2022-10-21 03:52:35.000,1009522,2023-02-07 08:32:48.000,N,11273395,2021,N,Y,Y,For Spotify (Japanse Title),1007014,6400,WM Japan,1008827,English,1009528,WMG is not Copyright Holder,4109,JAPAN,,,,,N,,2021-03-27 00:00:00.000,N,,,,,,,,,2021-03-27 00:00:00.000,N,N,N
9696446,Y,530,N,2212570,4392513,243,ISRC,JPWP02201756,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1000346,Hip Hop,,,1219,,Not Explicit,N,Y,,N,Y,1000085,000:03:48,,,4466,Japanese,4109,JAPAN,,,,,,ドウムラ リウ,ウタタネ,ウタタネ,,,Snooze,,,,,,,,,,,,JPWP02201756,,,2021 Riu Domura,1893519,6455-178,BLUEMOON MUSIC LLC,,,,,,,,,1009522,2022-10-21 03:52:35.000,1009522,2023-02-07 08:32:48.000,N,11273395,2021,N,Y,Y,For Spotify (Japanse Title),1007014,6400,WM Japan,1008827,English,1009528,WMG is not Copyright Holder,4109,JAPAN,,,,,N,,2021-03-27 00:00:00.000,N,,,,,,,,,2021-03-27 00:00:00.000,N,N,N
9696447,Y,501,Y,2117510,4112487,243,ISRC,FRZ042201316,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2754,Rap/Hip Hop,3004,French,1218,,No Advice Available,N,N,,N,Y,1000109,000:02:34,,,4399,French,4073,FRANCE,Translab (Paris),,,,,Stavo,Roue Libre (feat. 1PLIKÉ140),Roue Libre (feat. 1PLIKÉ140),,,Roue Libre,,,,,,,,,,,,FRZ042201316,,,2022 Warner Music France,1004992,7250,WM France,,,,,,,,,1013982,2022-09-28 11:43:22.000,1015369,2025-09-24 13:04:19.000,N,11346655,2022,Y,Y,Y,,1007038,7250,WM France,1008830,French,1009525,WMG is Original Copyright,4073,FRANCE,1013065,MQS Stereo,,,N,1PLIKÉ140,2022-11-10 00:00:00.000,N,,,,,,,,,2022-03-04 00:00:00.000,N,N,N
9696448,Y,501,Y,2247835,4404057,243,ISRC,NL5HE2200099,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2751,Pop,,,1219,,Not Explicit,N,Y,,N,Y,1000860,000:04:14,,,4372,Dutch,4154,NETHERLANDS,,,,,,ORANJE,Zo Sterk Als een Leeuw,Zo Sterk Als een Leeuw,,,Zo Sterk Als een Leeuw,,,,,,,,,,,,NL5HE2200099,,,2022 S3 Recordings,1857087,7579-S3R,S3 Recordings,,,,,,,,,1016322,2022-09-28 11:43:22.000,1004402,2023-10-22 20:14:31.000,N,11273403,2022,Y,Y,Y,Carpathia,1877825,7579,ADA Benelux,1009205,Dutch,,,,,1013074,Stereo,,,N,,2022-10-21 00:00:00.000,N,,,,,,,,,2022-10-21 00:00:00.000,N,N,N
9696449,Y,501,Y,2247833,4404058,243,ISRC,NL7WN2200001,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,1023407,Classical Crossover,,,1219,,Not Explicit,N,Y,,Y,Y,1000860,000:02:36,,,4595,No linguistic content,4154,NETHERLANDS,,,,,,Ronan Spoor,Daydreamer,Daydreamer,,,Daydreamer,,,,,,,,,,,,NL7WN2200001,,,"2023 Ronan Spoor, distributed by Aragosta Piano",1898139,7579-RGP,Aragosta Piano,,,,,,,,,1016322,2022-09-28 11:43:22.000,1019604,2025-09-30 08:03:50.000,N,11273401,2023,Y,Y,Y,Carpathia,1877825,7579,ADA Benelux,1008827,English,1009528,WMG is not Copyright Holder,,,1013065,MQS Stereo,,,N,,2022-11-04 00:00:00.000,N,,,,,,,,,2022-11-04 00:00:00.000,N,N,N
9696450,Y,501,Y,2247834,4404056,243,ISRC,NLYA32200004,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2751,Pop,,,1219,,Not Explicit,N,Y,,Y,Y,1000860,000:03:25,,,4372,Dutch,4154,NETHERLANDS,,,,,,Jeffrey Oud,Ik Ben Hier,Ik Ben Hier,,,Ik Ben Hier,,,,,,,,,,,,NLYA32200004,,,2023 Incus Dutch,1853295,7579-1CP,All 4You Events,,,,,,,,,1016322,2022-09-28 11:43:26.000,1004402,2023-10-22 20:14:31.000,N,11273399,2023,Y,Y,Y,Carpathia,1877825,7579,ADA Benelux,1009205,Dutch,,,,,1013074,Stereo,,,N,,2022-10-07 00:00:00.000,N,,,,,,,,,2022-10-07 00:00:00.000,N,N,N
